order_number,item_purchased,price,quantity,category,mode of payment,seller_name,placed_on,shipped_on,delivered_on,courier,location,discount_type,free_shipping,refund_status,refund_reason
919843774911266,Bluetooth headphone,104.61,1,Personal use,Credit Card,Love shopping,10/25/2024,10/22/2024,10/23/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
911483870711266,Whitening underarm,134.26,2,Personal use,Credit Card,Organic Skin Japan,10/25/2024,10/21/2024,10/23/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
911483870011266,Climbing net,88.00,1,Garden maintenace,Credit Card,Topworth outdoor store,10/21/2024,10/21/2024,10/22/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
911483870011266,Car retainer,119.00,1,Car maintenace,Credit Card,Topworth outdoor store,10/21/2024,10/21/2024,10/22/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
917645586411266,UV Plastic,130.00,1,Garden maintenace,Credit Card,The Gardener's Choice,10/21/2024,10/20/2024,10/22/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
917645586411266,Super Dry Net,120.00,1,Garden maintenace,Credit Card,The Gardener's Choice,10/21/2024,10/20/2024,10/22/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
917645587711266,No more nails adhesive,183.00,1,House Maintenace,Credit Card,Gazelle Building Supplies,10/21/2024,10/22/2024,10/23/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
917645587011266,Staple nails,70.00,2,Garden maintenace,Credit Card,Mitsushi by BWT,10/20/2024,10/21/2024,10/22/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
917645586411266,Mitsushi staple gun,177.00,1,Garden maintenace,Credit Card,Mitsushi by BWT,10/20/2024,10/21/2024,10/22/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,Yes,Change of mind
917645586411266,Mitsushi staple gun,177.00,1,Garden maintenace,Credit Card,Mitsushi by BWT,10/20/2024,10/21/2024,10/22/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A ,N/A
917645586711266,Pure organic cultured honey,170.00,2,Kitchen,Credit Card,Mang Honey bee,10/20/2024,10/21/2024,10/22/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
917645587511266,360 Shower,150.50,1,House Maintenace,Credit Card,Zonetech.PH,10/20/2024,10/21/2023,10/22/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
907717477911266,Voltage surge protector,261.09,1,House Maintenace,Credit Card,Silver River,10/20/2024,10/14/2024,10/15/2024,J&T Express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
907213045711266,Pet sausage Chicken,48.60,10,Pet Care,Credit Card,Pet New Land Official store,10/20/2024,10/14/2024,10/15/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
907213045711266,Pet sausage Beef,48.60,10,Pet Care,Credit Card,Pet New Land Official store,10/20/2024,10/14/2024,10/15/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
907213045711266,Pet shampoo,75.87,1,Pet Care,Credit Card,Pet New Land Official store,10/13/2024,10/14/2024,10/15/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
